150	0.189	0
149.76885	0.2214	0
149.0766	0.318	0
147.92775	0.4773	0
146.3292	0.6963	0
144.291	0.9717	0
141.82545	1.2987	0
138.948	1.67235	0
135.6762	2.0871	0
132.03045	2.5371	0
128.03295	3.01605	0
123.7086	3.5178	0
119.08395	4.03575	0
114.18735	4.56345	0
109.04925	5.0943	0
103.7013	5.6214	0
98.1762	6.13755	0
92.50845	6.63555	0
86.73255	7.10745	0
80.8845	7.5453	0
75	7.941	0
69.1155	8.28615	0
63.26745	8.5722	0
57.49155	8.79135	0
51.8238	8.93625	0
46.2987	9	0
40.95075	8.9772	0
35.81265	8.8638	0
30.91605	8.6571	0
26.2914	8.35635	0
21.96705	7.96245	0
17.96955	7.4781	0
14.3238	6.90735	0
11.052	6.25575	0
8.17455	5.53005	0
5.709	4.737	0
3.6708	3.88395	0
2.07225	2.9781	0
0.9234	2.02545	0
0.23115	1.03155	0
0	0	0
0.23115	-1.03155	0
0.9234	-2.02545	0
2.07225	-2.9781	0
3.6708	-3.88395	0
5.709	-4.737	0
8.17455	-5.53005	0
11.052	-6.25575	0
14.3238	-6.90735	0
17.96955	-7.4781	0
21.96705	-7.96245	0
26.2914	-8.35635	0
30.91605	-8.6571	0
35.81265	-8.8638	0
40.95075	-8.9772	0
46.2987	-9	0
51.8238	-8.93625	0
57.49155	-8.79135	0
63.26745	-8.5722	0
69.1155	-8.28615	0
75	-7.941	0
80.8845	-7.5453	0
86.73255	-7.10745	0
92.50845	-6.63555	0
98.1762	-6.13755	0
103.7013	-5.6214	0
109.04925	-5.0943	0
114.18735	-4.56345	0
119.08395	-4.03575	0
123.7086	-3.5178	0
128.03295	-3.01605	0
132.03045	-2.5371	0
135.6762	-2.0871	0
138.948	-1.67235	0
141.82545	-1.2987	0
144.291	-0.9717	0
146.3292	-0.6963	0
147.92775	-0.4773	0
149.0766	-0.318	0
149.76885	-0.2214	0
150	-0.189	0
